,hashtags,link,tweet,sentiment
107,"['#taxis', '#mumbai', '#lockdown', '#unlock1']",https://twitter.com/latestly/status/1271027081271369728,kaali peeli taxis in mumbai continue to face lockdown blues with minimal bookings even after unlock,neutral
108,"['#mumbai', '#social']",https://twitter.com/thebollybaba/status/1271013783415087104,maharashtra covid mumbai social distancing unlock,neutral
109,"['#crispedit', '#marinedrive', '#thedraft', '#unlock1', '#covid19', '#georgefloyd', '#blacklivesmatter']",https://twitter.com/TheDraftWorld/status/1270986581294215168,crispedit sections of the media social media across india have been going overboard with crowds at marinedrive in mumbai instead of looking at the silver linings across the entire zone thedraft unlock covid georgefloyd blacklivesmatter,neutral
110,"['#unlockingus', '#unlockindia', '#unlock1']",https://twitter.com/AlokShukla1929/status/1270979217614729216,unlockingus unlockindia unlock this is the ground situation of mumbai in unlock at bandstand promenade,neutral
111,"['#bipashabasu', '#karansinghgrover', '#unlock1', '#mumbai']",https://twitter.com/HydTimes/status/1270977818592194560,shares a video of playing the mouth organ while enjoying the breeze the sun bipashabasu karansinghgrover unlock mumbai,happiness
112,[],https://twitter.com/PraakashRenose/status/1270953340273192961,mumbaiwindowclickunlock lockdown,neutral
113,['#unlock1'],https://twitter.com/aishwar2414/status/1270936469025120257,mumbai ki bhi halat patli ho chuki hai aur ab is halaat me unlock karna thoda sawaal maha sarkar sey bhi kariye,neutral
114,"['#quarantinetimepass', '#unlock2', '#unlock1', '#gujarat', '#maharashtra', '#lockdown5', '#bangalore', '#coimbatore', '#indianairforce', '#karachi', '#katrinakaif', '#mumbairains', '#mumbai', '#sidnaaz', '#upsc', '#voguechallenge', '#missyouyuvi']",https://twitter.com/GautamGada1/status/1270934682943647744,quarantine ward life of gujjus gujjus can be happy anywhere retweet quarantinetimepass unlock unlock gujarat maharashtra lockdown bangalore coimbatore indianairforce karachi katrinakaif mumbairains mumbai sidnaaz upsc voguechallenge missyouyuvi,worry
115,"['#beginagain', '#mumbai', '#best', '#mumbai', '#covid_19', '#unlock1', '#rjrohini', '#sachinkalbag', '#strike']",https://twitter.com/rotalks/status/1270928794916798464,beginagain mumbai best buses have threatened to go on strike and we may be the reason for it i find out more with of on mumbai covid unlock rjrohini sachinkalbag strike,worry
116,"['#unlock1', '#lockdown', '#corona', '#covid19', '#mumbai', '#covid', '#covid', '#china']",https://twitter.com/BansalNewsbpl/status/1270921253956677632,unlock lockdown corona covid mumbai covid covid china,neutral
117,"['#lockdown', '#mumbaifightscorona', '#unlock1', '#cautionyespanicno', '#coronavirusoutbreak']",https://twitter.com/TOIMumbai/status/1270900527992205312,if you are missing the toi s print edition in the lockdown click here to read the toi epaper and your city edition mumbaifightscorona unlock cautionyespanicno coronavirusoutbreak,neutral
118,"['#coronavirus', '#india', '#indiafightscorona', '#stayhome', '#mumbai', '#unlock1', '#lockdown', '#delhi']",https://twitter.com/FoxBat_IND/status/1270789251345584128,anyone who says we have to learn to live with this coronavirus in india needs to check the nos below and we haven t even spoken abt the elderly malnourished so how many are we willing to let die indiafightscorona stayhome mumbai unlock lockdown delhi,happiness
119,"['#maharashtra', '#tweet', '#twitter', '#vitorr', '#india', '#mumbai', '#coronavirus', '#covid19', '#unlock1', '#news', '#onlinemarketing', '#share', '#follow']",https://twitter.com/AnkitSh39191021/status/1270777212174647297,in maharashtra new cases were found in hours with deaths the highest figure tweet twitter vitorr india mumbai coronavirus covid unlock news onlinemarketing share follow,neutral
120,['#unlock1'],https://twitter.com/spacepirate420/status/1270776048129421312,mumbai mein public aise ghoom rahi hai jaise inlogo ne gharpe hi vaccine bana liya ho unlock,neutral
121,"['#covid_19', '#coronavirus', '#mumbailockdown', '#june9', '#maharastra', '#mumbai', '#maharashtrafightscorona', '#indiafightscovid19', '#breaking_news', '#lockdown5', '#unlock1']",https://twitter.com/ItvBharat/status/1270766884003045376,covid coronavirus mumbailockdown june maharastra mumbai maharashtrafightscorona indiafightscovid breaking news lockdown unlock,neutral
122,"['#unlock1', '#ghatkopar', '#mumbai', '#stayhomestaysafe', '#unlockchallenge']",https://twitter.com/chheda_pravin/status/1270764742286512128,after unlock in a day cases in ghatkopar mumbai stayhomestaysafe unlockchallenge,neutral
123,"['#mumbai', '#maharashtra', '#unlock1']",https://twitter.com/PriyaDalal_/status/1270752900927684616,it s pathetic state of affairs mumbai maharashtra unlock,sadness
124,"['#lamborghini', '#unlock1', '#automotive', '#news', '#topgear']",https://twitter.com/TopGearMagIndia/status/1270746373508366336,the reopening of its mumbai delhi and bengaluru dealerships comes with stringent adherence to the lamborghini sicurezza guidelines lamborghini unlock automotive news topgear,neutral
125,"['#indiafightscorona', '#covid19', '#stayhome', '#staysafe', '#mumbaitraffic', '#coronavirus', '#unlock1']",https://twitter.com/farzi_gyaan/status/1270745276752334856,mumbai the city never stops sleeps corona i like and respect your spirit mumbai but i am not here to see your stupid stunt stay home indiafightscorona covid stayhome staysafe mumbaitraffic coronavirus unlock,joy
126,"['#dabbawalas', '#mumbai', '#pandemic', '#coronavirus', '#lockdown', '#streetfood', '#localtrain', '#unlock1', '#coronavirusupdates']",https://twitter.com/BT_India/status/1270744938800541696,dabbawalas of mumbai rendered jobless struggle to survive amid pandemic coronavirus lockdown streetfood localtrain unlock coronavirusupdates link,sadness
127,"['#follow', '#memes', '#like', '#comment', '#spreadit', '#covid19', '#coronavirusmeme', '#coronavírus', '#corona', '#coronavirus', '#coronamemes', '#covid19pandemic', '#mumbai', '#marinedrive', '#maharashtra', '#maharashtrianmemes', '#marathimemes', '#mumbaimemes', '#mumbaikar', '#unlock1']",https://twitter.com/postistan/status/1270738467316568064,follow for more memes do like comment spreadit covid coronavirusmeme coronavrus corona coronavirus coronamemes covid pandemic mumbai marinedrive maharashtra maharashtrianmemes marathimemes mumbaimemes mumbaikar unlock,neutral
128,"['#mumbai', '#gatewayofindia', '#unlock1', '#mumbairains', '#maharashtra']",https://twitter.com/MahtabS81714506/status/1270735211727187968,mumbai gatewayofindia unlock mumbairains maharashtra,neutral
129,"['#ranked', '#unlock1']",https://twitter.com/prasadk2k/status/1270728677161132034,ranked quite low in deaths and critical patients next weeks critical as the effect of unlock starts to emerge mumbai seems to have slowed down but too early to call it out as it just opened up this week,sadness
130,"['#unlock', '#unlockindia', '#unlock1', '#india', '#lockdown', '#jatraa', '#covid19', '#pandemic', '#mumbai', '#maharashtra', '#corona', '#coronavirus']",https://twitter.com/jatraacomm/status/1270724975868051457,unlock india unlock unlockindia unlock india lockdown jatraa covid pandemic mumbai maharashtra corona coronavirus,neutral
131,['#unlock1'],https://twitter.com/IndianExpress/status/1270718482972172291,life before and after unlock more people were out on the streets and traffic snarls made a comeback this combination picture shows mumbai s marine drive before and after lockdown see more,sadness
132,"['#मुंबई', '#coronavirus', '#corona', '#unlock1']",https://twitter.com/airnews_mumbai/status/1270714289473482758,coronavirus corona unlock,neutral
133,"['#unlock1', '#unlockyouropportunity', '#realestate', '#realestatetips', '#bestinvestment', '#investmentproperty', '#property', '#businessideas', '#business', '#positivesteps', '#ideasforhome', '#bestdeals', '#bkandharigroup', '#mumbai']",https://twitter.com/BKandhari_Prop/status/1270710238216220676,now opportunity has been unlocked to invest in home secured your life unlock unlockyouropportunity realestate realestatetips bestinvestment investmentproperty property businessideas business positivesteps ideasforhome bestdeals bkandharigroup mumbai,worry
134,"['#rich', '#poor', '#mumbai', '#maharashtrapolitics', '#lockdown', '#unlock1']",https://twitter.com/shucoyan/status/1270709772900130822,reality rich poor mumbai maharashtrapolitics lockdown unlock,sadness
135,"['#bansharingautos', '#mumbai', '#covid19', '#covid19mumbai', '#unlock1', '#stayhomestaysafe']",https://twitter.com/harjotmankoo/status/1270706091601489920,why are the cops and government allowing sharing autos to run where is the common sense bansharingautos mumbai covid covid mumbai unlock stayhomestaysafe,sadness
136,['#unlock1'],https://twitter.com/republic_glitz/status/1270686901633253376,rakul preet singh goes cycling on mumbai streets addresses fans concern about mask unlock,neutral
137,"['#अमरावती', '#टाळेबंदी', '#सूट', '#मजूर', '#unlock1', '#covid__19', '#coronavirus']",https://twitter.com/airnews_mumbai/status/1270686635349487617,unlock covid coronavirus,neutral
138,"['#pickup', '#olagarage', '#care', '#car', '#problem', '#callus', '#wednesdaythoughts', '#quarantine', '#carchecking', '#carservices', '#lockdownend', '#unlock1', '#navimumbai', '#mumbai', '#delhi', '#pune', '#cars', '#problems']",https://twitter.com/Olagarage/status/1270679745848651778,for any car maintenance and service please call us on or log in to pickup olagarage care car problem callus wednesdaythoughts quarantine carchecking carservices lockdownend unlock navimumbai mumbai delhi pune cars problems,worry
139,['#unlock1'],https://twitter.com/AnkitMadX/status/1270675065697337344,unlock mumbai dark red from bandra to andheri at in the evening god bless us,neutral
140,"['#unlock1', '#staysafe']",https://twitter.com/TataMumMarathon/status/1270658375974391808,stepping out of the house don t forget to wear a mask and follow social distancing norms at all times act responsibly and reset normalcy unlock staysafe,sadness
141,"['#thetintedclub', '#ttccares', '#eyecareisselfcare', '#covid_19', '#ttc', '#bestintown', '#healthawareness', '#unlock1', '#protecteyes', '#eyeprotection', '#protectiveglasses', '#safety', '#safetyglasses', '#covid19', '#safetycomesfirst', '#ttc', '#lockdownindia', '#bestintown', '#bandra', '#mumbai']",https://twitter.com/ClubTinted/status/1270655851401867265,stay tuned for such regular updates thetintedclub ttccares eyecareisselfcare covid ttc bestintown healthawareness unlock protecteyes eyeprotection protectiveglasses safety safetyglasses covid safetycomesfirst ttc lockdownindia bestintown bandra mumbai,neutral
142,['#unlock1'],https://twitter.com/anujgcasting/status/1270654990198030336,mumbai ka unlocked dekh ke maine extra underwear khareed le hai living like a primitive human your life is your responsibility unlock,happiness
143,['#unlock1'],https://twitter.com/NaviMumbaiCity/status/1270650638527954948,sir agreed to your statement but if it continues this way the cases will increase exponentially and it will be far too much for us to handle as it is already and then we can officially rename from unlock to bhagwan bharose,worry
144,"['#delhi', '#mumbai', '#covid19india', '#unlock1', '#nagpur']",https://twitter.com/Priyanka_208/status/1270644614740021250,your are saying that she returned from delhi while is saying that she came from mumbai what is the truth pls clarify awaiting ur response covid india unlock nagpur,worry
145,"['#unlockingindia', '#unlock1']",https://twitter.com/SilpyGupta/status/1270642267712356353,its really scary unlockingindia unlock mumbai with coronavirus cases crosses wuhan,worry
146,"['#msmes', '#mumbai', '#offices', '#publicrelations', '#pr', '#b2bpr', '#b2b', '#msmes', '#mumbai', '#news', '#media', '#spincommunique', '#unlock1', '#coronavirus', '#covid19', '#wfh']",https://twitter.com/SpinCommunique/status/1270628682269253632,msmes in mumbai apprehensive about opening offices with staff b b msme publicrelations pr b bpr b b msmes mumbai news media spincommunique unlock coronavirus covid wfh,happiness
147,"['#lockdownend', '#unlock1', '#failedlockdown', '#mumbai', '#covid19india']",https://twitter.com/manasii_d/status/1270628669543682049,inspite having a large number of covid cases hundreds of mumbaikars flocked to marine drive as soon as the government announced unlock india spirit of mumbai or stupidity lockdownend unlock failedlockdown mumbai covid india,happiness
148,"['#unlock1', '#mumbai', '#covid19india', '#mumbaifightscovid19']",https://twitter.com/aishwar2414/status/1270617203847487488,please lockdown mumbai till st june pvt companies are calling employees to work we all know transportation conditions here and what it can lead to in coming days our families and mumbai will be in danger do think unlock mumbai covid india mumbaifightscovid,worry
149,"['#anonymous', '#break_the_silence', '#covid19india', '#covid_19', '#fleets', '#fleetsfeedback', '#fleet', '#fleeting', '#goodmorning', '#johnnydepp', '#mumbai', '#mondaythoughts', '#neetpostpone', '#onlyfans', '#quotes', '#rock', '#shopian', '#shehnaazgill', '#twitterfleets', '#unlock1', '#uttarpradesh', '#vocalforlocal', '#wednesdaymorning']",https://twitter.com/SMWPramesh/status/1270616195977424897,anonymous break the silence covid india covid fleets fleetsfeedback fleet fleeting goodmorning johnnydepp mumbai mondaythoughts neetpostpone onlyfans quotes rock shopian shehnaazgill twitterfleets unlock uttarpradesh vocalforlocal wednesdaymorning,neutral
150,"['#coronavirusoutbreak', '#unlock1', '#mumbai', '#wuhan']",https://twitter.com/NavbharatTimes/status/1270615831219593216,coronavirusoutbreak unlock mumbai wuhan,neutral
151,"['#mumbai', '#delhi', '#unlock1', '#covid']",https://twitter.com/MandloiRashmi/status/1270600752025788417,hospital beds not available for the rich too mass suicide mission on in mumbai delhi with unlock i can have every possibility of catching covid as economy opens but zero possibility of finding a bed that can give me a fighting chance to combat this virus,sadness
152,"['#children', '#competition', '#wednesdaymorning', '#twitterfleets', '#unlock1', '#onlyfans', '#facebook', '#flowers', '#carryminati', '#nature', '#mumbai', '#voguechallenge', '#blackpinkiscoming', '#jo1withフレハンディファン', '#fleets', '#indianarmy', '#fleeting', '#wednesdaymotivation']",https://twitter.com/ketanbhalala/status/1270599989463519232,future kid s homework children competition wednesdaymorning twitterfleets unlock onlyfans facebook flowers carryminati nature mumbai voguechallenge blackpinkiscoming jo with fleets indianarmy fleeting wednesdaymotivation,neutral
153,"['#retail', '#unlock1', '#mumbai', '#bmc']",https://twitter.com/THMumbai/status/1270598943613890560,retail unlock shops in mumbai can now stay open throughout the day instead of from a m to p m as per a revised order issued by the bmc reports,worry
154,['#unlock1'],https://twitter.com/loniless_18/status/1270598001870831622,unlock migrants returning to mumbai,neutral
155,"['#mumbaiunlock', '#unlock1']",https://twitter.com/mid_day/status/1270596731307282433,mumbai lockdown shops timings extended but malls to remain shut mumbaiunlock unlock,neutral
156,"['#unlock1', '#delhi', '#mumbai', '#selfquarantine', '#radhikamadan', '#bollywood', '#lockdown', '#coronaviruspandemic']",https://twitter.com/DelhiTimesTweet/status/1270585942399647746,unlock who recently flew to delhi from mumbai reunites with her mom after days of selfquarantine radhikamadan bollywood lockdown coronaviruspandemic,worry
157,['#unlock1'],https://twitter.com/sandesh_samant/status/1270585074602344448,can we now go from mumbai to pune by a private vehicle without any permit unlock,sadness
158,[],https://twitter.com/ComradeAbhi/status/1270583823550615552,where ever you are in india stay safe mumbai and delhi becoming indian wuhan city so stay at home obey govt guidelines please dont gather at one place we have to live for our country till now corona hasn t gone dont take unlock loosely,worry
159,"['#unlock1', '#rakulpreetsingh']",https://twitter.com/boxofficeindia/status/1270581991352623109,unlock goes out cycling on the streets of mumbai rakulpreetsingh,neutral
160,"['#beginagain', '#mumbai', '#unlock1', '#lockdown5']",https://twitter.com/AProudIndian8/status/1270574658698522624,says mission beginagain private offices say come to work our housing society says no entry for people who are stuck out of mumbai and want to resume work what to do unlock lockdown,sadness
161,"['#bandra', '#mumbai', '#unlock1']",https://twitter.com/sachinmedhekar/status/1270573219804786688,traffic on western express highway going towards bandra mumbai unlock,neutral
162,"['#mumbai', '#unlock1']",https://twitter.com/sachinmedhekar/status/1270571990534012931,traffic on western express highway toward borivali mumbai unlock,neutral
163,['#unlock1'],https://twitter.com/SuhasVaidya31/status/1270569733323198464,mumbai with coronavirus cases crosses wuhan unlock,neutral
164,"['#lockdown5', '#unlock1', '#mumbai', '#thane']",https://twitter.com/LoksattaLive/status/1270562770589609990,lockdown unlock mumbai thane,neutral
165,"['#hotelsandmallstart', '#rulesofsurvival', '#unlock1', '#fleetsfeedback', '#coronavirus', '#fleet', '#wednesdaymorning', '#sunshinejunday', '#fleeting', '#covidー19', '#duncanwilliams']",https://twitter.com/VantasMumbai/status/1270561080125906946,hotelsandmallstart rulesofsurvival unlock fleetsfeedback coronavirus fleet wednesdaymorning sunshinejunday fleeting covid duncanwilliams,neutral
166,"['#johnshopkins', '#india', '#coronavirus', '#covid', '#indiafightscorona', '#delhi', '#mumbai', '#unlock1', '#missionbeginagain']",https://twitter.com/kunnal/status/1270559917192044545,johnshopkins professor says india in all probability among those countries either not reporting or if it all reporting suspicious data for coronavirus are you surprised covid indiafightscorona delhi mumbai unlock missionbeginagain,neutral
167,['#unlock1'],https://twitter.com/idemitc/status/1270547794869313536,bus crowds push maharashtra govt into reviewing its unlock move mumbai news times of india unlock,neutral
168,"['#unlock1', '#mumbaikars', '#mumbai', '#backtowork']",https://twitter.com/gyan_duu/status/1270547675172048897,couldn t resist in sharing this forward unlock mumbaikars mumbai backtowork,joy
169,"['#lockdownextended', '#unlock1', '#mumbai']",https://twitter.com/rupadhikari/status/1270541655829917697,land owner asking to evacuate within days from now what to do lockdownextended unlock mumbai,neutral
170,"['#blacklivesmatter', '#chinese', '#elephantdeath', '#food', '#georgefloydfuneral', '#indianarmy', '#kalu', '#master', '#mumbai', '#onlyfans', '#onthisday', '#postponeneet', '#quotes', '#studentlivesmatter', '#tuesdayvibes', '#usaonfire', '#unlock1']",https://twitter.com/99Moonmen/status/1270476702167293956,if you think you need to follow truth and avoide fake news then follow me blacklivesmatter chinese virus elephantdeath food georgefloydfuneral indianarmy kalu master mumbai onlyfans onthisday postponeneet quotes studentlivesmatter tuesdayvibes usaonfire unlock,neutral
171,"['#unlock1', '#vickykaushal', '#urithesurgicalstrike', '#howsthejosh']",https://twitter.com/PeepingMoon/status/1270471343645941760,how s the distance questions mumbai police on its social media amidst unlock with a vickykaushal twist urithesurgicalstrike howsthejosh,neutral
172,"['#communityspread', '#delhi', '#mumbai', '#lockdown', '#indiafightscorona', '#unlock1', '#covid_19india']",https://twitter.com/varunnorway/status/1270448291810021380,if you have communityspread as delhi mumbai do it is impossible to control the spread without a lockdown the alternative is an incredible tragedy to achieve herd immunity around deaths per city the r is too high indiafightscorona unlock covid india,worry
173,"['#delhi', '#mumbai', '#indiafightscorona', '#unlock1']",https://twitter.com/varunnorway/status/1270446767360876545,people need to realise that delhi and mumbai will go into a complete lockdown soon they shouldn t just blame the government for their inability to produce enough oxygen beds it has been an impossible task for all cities horrifying projections indiafightscorona unlock,sadness
174,"['#lockdown', '#unlock1', '#staysafe', '#becareful', '#helpanimals']",https://twitter.com/steffyshappypa1/status/1270434383778856962,unlock be careful and extra cautious lockdown unlock staysafe becareful helpanimals navi mumbai new mumbai india,worry
175,"['#annasahebmisal', '#nmmt', '#navimumbai', '#unlock1']",https://twitter.com/NaviMumbaiNet/status/1270433320665444352,find out all bus routes of nmmt which operate from june annasahebmisal nmmt navimumbai unlock,neutral
176,"['#nepal', '#nepalindiaborder', '#indianarmy', '#indiachinafaceoff', '#indiafightscorona', '#arvindkejriwal', '#coronavirus', '#gunjansaxena', '#janhvikapoor', '#kalu', '#ladakh', '#master', '#mumbai', '#modiwonchinirahulfail', '#obamagate', '#postponeneet', '#rishibagree', '#studentlivesmatter', '#tamilnadu', '#unlock1', '#vocalforlocal']",https://twitter.com/BaazigarSheru/status/1270424439432282112,nepal nepalindiaborder indianarmy indiachinafaceoff indiafightscorona arvindkejriwal coronavirus gunjansaxena janhvikapoor kalu ladakh master mumbai modiwonchinirahulfail obamagate postponeneet rishibagree studentlivesmatter tamilnadu unlock vocalforlocal,neutral
177,"['#unlock1', '#stayhome', '#selfie', '#instagram', '#instaclick', '#quarantine']",https://twitter.com/ShanawazChinoy/status/1270409798094331907,unlock stayhome selfie instagram instaclick quarantine mumbai maharashtra,neutral
178,"['#unlock1', '#mumbai']",https://twitter.com/DinooMarino/status/1270408400497762307,they should have unlock at all with highest deaths and infections guess we have some visionaries in these state governments mumbai bmc is now allowing shops to be open all throughout the day as per pre covid timings super we thought out clap clap clap,worry
179,"['#covid__19', '#coronavirus', '#covid19india', '#unlock1', '#tuesdayvibes', '#wednesdaymorning', '#india', '#indiafightscoronavirus', '#memes', '#mumbai', '#memesdaily', '#memes2020', '#arnabgoswami', '#indianews', '#indiatoday', '#covid_19', '#wednesdayvibes', '#tuesdayvibes', '#lockdownfailed']",https://twitter.com/RizwanSoorya1/status/1270407046517657609,kya mast plan hay re baba covid coronavirus covid india unlock tuesdayvibes wednesdaymorning india indiafightscoronavirus memes mumbai memesdaily memes arnabgoswami indianews indiatoday covid wednesdayvibes tuesdayvibes lockdownfailed,neutral
180,"['#coronavirus', '#unlock1', '#shahrukhkhan', '#shahrukhkhanfan', '#covid_19', '#memesdaily', '#bjp', '#mumbai', '#delhi', '#narendermodi', '#lockdownextension', '#coronawarriors', '#vaccine', '#newshot', '#shahrukh', '#asksrk']",https://twitter.com/DramaFlick/status/1270406051565916160,don t be so badshah guys stay safe coronavirus unlock shahrukhkhan shahrukhkhanfan covid memesdaily bjp mumbai delhi narendermodi lockdownextension coronawarriors vaccine newshot shahrukh asksrk,joy
181,"['#unlock1', '#lockdown', '#covid__19']",https://twitter.com/Yash_Railfan/status/1270405916152614917,best bus mumbai unlock lockdown covid mt depot buses operating on route ltd for higher frequency buses parked on mg road waiting for departure ltd at borivali stn safety livery bus from w operating on ltd cc,worry
182,"['#ghantatime', '#unlock1', '#mumbai', '#covid19india']",https://twitter.com/Nimitiwari/status/1270401575299641344,ghantatime really need to know the ground reality how are the jobs of the middle class coming back to its full state of consciousness in unlock state when will furlough leave without pay sessions end for hardworking corporate professionals mumbai covid india,worry
183,"['#mumbai', '#unlock1']",https://twitter.com/mumbairailusers/status/1270394222873464832,mumbai unlock day confusion over govts rules changes in work habits marks day one of mission begin again,sadness
184,"['#factofactcheck', '#westbengal', '#unlock1', '#mumbai']",https://twitter.com/Facto_news/status/1270385848790298624,west bengal s video of people boarding the bus is going viral as crowded mumbai s best bus factofactcheck westbengal unlock mumbai,happiness
185,"['#उद्धव', '#महाराष्ट्र', '#चीन', '#वुहान', '#मुंबई', '#covid', '#कोरोना', '#coronaupdates', '#mumbai', '#maharashtrafightscorona', '#wuhanflu', '#chinesevirus', '#bollywood', '#uddhavthackeray', '#unlock1', '#negative', '#justiceforstudents', '#modiwonchinirahulfail']",https://twitter.com/Rajesh_Dubey_/status/1270370324664717312,covid coronaupdates mumbai maharashtrafightscorona wuhanflu chinesevirus bollywood uddhavthackeray unlock negative justiceforstudents modiwonchinirahulfail,neutral
186,[],https://twitter.com/BeardWalaChokra/status/1270364863211220992,friend kya hoga mumbai ka after unlock me,joy
187,"['#unlockone', '#unlock1', '#missionbeginagain', '#mumbai', '#balconyphotography', '#iphonephotography', '#kumargautam']",https://twitter.com/Kumargautamkg/status/1270361062672490497,unlockone unlock missionbeginagain mumbai balconyphotography iphonephotography kumargautam,neutral
188,['#unlock1'],https://twitter.com/Indradev_007/status/1270346349008097282,mumbai heavy traffic at jogeshwari west near jvlr fly over unlock,neutral
189,"['#wassupmumbai', '#unlock1']",https://twitter.com/Wassup_Mumbai/status/1270345490991849475,unlock top rule please wear face mask our humble request is go out only if absolutely necessary wassupmumbai unlock,happiness
190,"['#humanityfirst', '#convid19', '#unlock1', '#saveself', '#mumbai']",https://twitter.com/DHARMESHRAJPUT0/status/1270334304086786048,humanityfirst convid unlock saveself mumbai dosto me app sabhi se ek baat kehna chahta hu ki sarkar ha but a safal hai police ha lachar ha doctors ha insaniyat nhi hospitals ha usse koi madat nhi hum aam insan ha hume kisi bhi tarah jiveet rehne ke bare me sochna ha bas,happiness
191,"['#unlock1', '#restartingindia']",https://twitter.com/CNBCTV18News/status/1270332331799097344,on day of unlock our reporters stepped out to have a meal at cyberhub in gurugram shop at a raymond store spoke to small business owners at what was once a bustling commercial district in mumbai special reports on restartingindia,happiness
192,['#unlock1'],https://twitter.com/VeeraJain/status/1270330211809112065,all those who ask me how s mumbai doing here s the answer we re preparing to flatten the curve together with unlock i guess we re doing it right right,happiness
193,"['#mumbai', '#unlock1']",https://twitter.com/editorji/status/1270328506686177280,huge relief for citizens shops in mumbaiwill stay open beyond pm says bmc unlock,worry
194,"['#coronavirus', '#covid_19', '#lockdown5', '#unlock1', '#mumbai', '#socialdistancing']",https://twitter.com/LoksattaLive/status/1270325482609729536,via coronavirus covid lockdown unlock mumbai socialdistancing,neutral
195,"['#unlock1', '#mumbai', '#juhu', '#beach']",https://twitter.com/TheSarlashkar/status/1270325130841993216,calm and serene unlock mumbai juhu beach,neutral
196,"['#unlock1', '#worldoceansday', '#mumbai', '#juhubeach', '#saveenvironment', '#cleanbeach', '#coronaeffect']",https://twitter.com/AvezFaiz/status/1270324451545137153,juhu beach mumbai after lockdown unlock worldoceansday mumbai juhubeach saveenvironment cleanbeach coronaeffect video link at juhu beach mumbai,neutral
197,"['#unlock1', '#anilkapoor', '#juhu', '#workout', '#fitness', '#exercise', '#health', '#healthylifestyle', '#goals', '#walk', '#stayhome', '#lockdown', '#bollywood', '#movietalkies', '#tuesdayvibes', '#tuesdaymotivation']",https://twitter.com/MovieTalkies/status/1270323563635990529,as mumbai eases its lockdown in unlock the super fit takes a walk around juhu to stay healthy anilkapoor juhu workout fitness exercise health healthylifestyle goals walk stayhome lockdown bollywood movietalkies tuesdayvibes tuesdaymotivation,happiness
198,"['#unlock1', '#coronavirusoutbreak']",https://twitter.com/livemint/status/1270322022069854209,unlock mumbai tweaks norms lets shops remain open for full working hours pathakkalpana reports coronavirusoutbreak,happiness
199,"['#unlock1', '#mumbai', '#beach', '#gardenshour', '#crowd', '#communityspread']",https://twitter.com/TheMahaMTB/status/1270321848325111809,unlock mumbai beach gardenshour crowd communityspread,neutral
200,"['#kareenakapoorkhan', '#saifalikhan', '#mumbai', '#marinedrive', '#taimur', '#tv', '#coronavirus', '#celebrity', '#video', '#unlock1']",https://twitter.com/Showsha_in/status/1270317217142452226,kareenakapoorkhan and saifalikhan stepped out in mumbai s marinedrive on sunday they were warned by a cop as taimur tagged along with his parents tv coronavirus celebrity video unlock,neutral
201,[],https://twitter.com/munshi1857/status/1270315817834434566,what an idea sir ji this is how unlock looks like wonder what and would be just imagine when mumbai locals resume services,happiness
202,"['#mumbai', '#covid19india', '#indianarmy', '#unlock1', '#coronawarriors', '#coronavirus']",https://twitter.com/saurabhs0607/status/1270315330829762561,what happened to this drug any report anyone can confirm mumbai covid india indianarmy unlock coronawarriors coronavirus,sadness
203,"['#unlock1', '#covid19', '#covid']",https://twitter.com/PIBMumbai/status/1270311586931118080,as we enter unlock phase we need to be more disciplined in adopting covid appropriate behaviour let us not forget the social vaccine against covid through strict adherence of norms of physical distancing hand hygiene and mask face covers,happiness
204,"['#mumbai', '#unlock1']",https://twitter.com/ABPNews/status/1270310811953586178,mumbai bmc issues revised guidelines for unlock shops to open in left right lane rule details,neutral
205,['#unlock1'],https://twitter.com/withSNirupam/status/1270307491633643524,social distancing out coronavirus in with no proper procedure mumbai is bound to face huge challenges amid unlock dark days ahead,worry
206,"['#thackeraygandhipawar', '#congresssenancp', '#mahavinashdhokaaghadi', '#maharashtragovt', '#mumbai', '#maharashtra', '#unlock1', '#socialdistancing', '#lockdown']",https://twitter.com/hitesh_thakkar3/status/1270306911980859393,thackeraygandhipawar congresssenancp mahavinashdhokaaghadi maharashtragovt is not doing well in mumbai maharashtra since d unlock ppl r not following socialdistancing at all as evry on roads each has explain n tell again n again there s nothing like lockdown,worry
207,"['#kolkata', '#mumbai', '#socialdistancing', '#coronavirus', '#unlock1', '#tmc', '#speakupdelhi']",https://twitter.com/sarang160499/status/1270303079867600896,social distancing being strictly followed by people kolkata mumbai socialdistancing coronavirus unlock tmc speakupdelhi,happiness
208,[],https://twitter.com/ankita_bhattar/status/1270298490158153733,delhi deputy cm manish sisodia claims that delhi will have lacs covid cases by july end hope mumbai does some analysis takes the appropriate measures before the city is exploded with virus post unlock wasn t lockdown enough to borrow time develop medical facilities,sadness
209,"['#bmc', '#unlock1', '#mumbai', '#covid19']",https://twitter.com/firstpost/status/1270292250220802051,bmc has revised its unlock guidlines as per the new guidelines shops in mumbai will be allowed to stay open for the full working hours for six days in a week however shops will remain closed on sundays follow live updates on covid,sadness
210,['#unlock1'],https://twitter.com/sajeshsudhanshu/status/1270289551072718848,unlock mumbai beach lokhandwala infinty mall mumbai stree via unlock,neutral
211,"['#mumbai', '#unlock1', '#bmc']",https://twitter.com/indiatvnews/status/1270286642733961216,unlock bmc issues new guidelines for mumbai allows shops to open with left right lane rule via mumbai unlock bmc,worry
