,emotion,tweet
488,joy,Me   Mummy Kya Bana Hai  Mummy   Shimla Mirch   Me     Memes  indianmemes  hindimemes  TheFamilyMan  QuarantineLife  Unlock1  COVID19  capsicum  hungry  RetweeetPlease  memer pic twitter com YmJfhee13U
489,joy,Back to work      A barber in Lakkar Bazaar   Shimla in  HimachalPradesh taking complete precautions as he gets on with earning his living after the government rolls out  Unlock1  PIB_India  MIB_India  BOC_MIB  DDNewslive  CMOFFICEHP  DDNewsShimla  airnews_shimla  pic twitter com VAoFcbwsyJ
490,joy,Back to work      A barber in Lakkar Bazaar   Shimla in  HimachalPradesh taking complete precautions as he gets on with earning his living after the government rolls out  Unlock1    PIB_India  MIB_India  DDNewslive  CMOFFICEHP  dprhp  DDNewsShimla  airnews_shimla  pic twitter com mI91QSEgCa
491,joy,Back to work      A barber in Lakkar Bazaar   Shimla in  HimachalPradesh taking complete precautions as he gets on with earning his living after the government rolls out  Unlock1    PIB_India  MIB_India  DDNewslive  CMOFFICEHP pic twitter com IIlTYNX36S
492,joy,In Unlock 1 0 i Will be going to Shimla with my friend  Rachnasharma1 on a long drive in a car to enjoy cool weather of hill stations and mountains of rivers and snow fall in chilling weather  Unlock1  weeklycontest  cnbcontest
493,sadness, HimachalPradesh  Tourism  Unlock1  As the empty roads of Shimla  wait to relive the old busy summer days  the CM Jai Ram Thakur said hotels can reopen from 08 June for locals but no tourists from other states are allowed  Will this opening be of any help to hoteliers we doubt    pic twitter com fGr2KDSBhs
494,joy,In the Badagaon village in  Shimla   HimachalPradesh  the ladies get on with sowing of vegetables as most of the activity opens up in  Unlock1  IndiaMoves  PIB_India  MIB_India  CMOFFICEHP  DDNewsShimla  airnews_shimla  BOC_MIB  DDNewslive pic twitter com e4lDxx8d64
495,disgust,Enabling the workers to earn a living for themselves  construction activity resumes in Shimla region of  HimachalPradesh as government allows a slew of activities  in  Unlock1  IndiaMoves  PIB_India  MIB_India  CMOFFICEHP  DDNewsShimla  airnews_shimla  BOC_MIB pic twitter com 8mWMCmso7D
496,disgust,Enabling the workers to earn a living for themselves  construction activity resumes in Shimla region of  HimachalPradesh as government allows a slew of activities  in  Unlock1    IndiaMoves  PIB_India  MIB_India  CMOFFICEHP  DDNewsShimla  airnews_shimla  pic twitter com RjTniPaOav
497,joy,In the Badagaon village in  Shimla   HimachalPradesh  the ladies get on with sowing of vegetables as most of the activity opens up in  Unlock1    IndiaMoves  PIB_India  MIB_India  CMOFFICEHP  DDNewsShimla  airnews_shimla  pic twitter com sfCgCk0gke
498,joy,In the Badagaon village in  Shimla   HimachalPradesh  the ladies get on with sowing of vegetables as most of the activity opens up in  Unlock1    IndiaMoves  PIB_India  MIB_India  CMOFFICEHP  DDNewslive pic twitter com xn3w1ySRg8
499,disgust,Enabling the workers to earn a living for themselves  construction activity resumes in Shimla region of  HimachalPradesh as government allows a slew of activities  in  Unlock1    IndiaMoves  PIB_India  MIB_India  CMOFFICEHP  DDNewslive pic twitter com dt8a7IQkia
500,joy,In Unlock 1 0 i Will be going to Shimla with  Rachnasharma163 on a long drive in a car  to enjoy cool weather of hill stations and mountains of rivers and snow fall in chilling weather  Unlock1  weeklycontest  cnbcontest
501,joy, Shimla म   ह ई झम झम ब र श  sdineshaa  jairamthakurbjp  CMOFFICEHP  AgnihotriLOPHP  ianuragthakur  SBhardwajBJP  govind4betterHP  NewsPHH  Stayathome  Unlock1  pic twitter com 0lQ5yqmpvj
502,joy,In Unlock 1 0 want to go on a long drive to Shimla with my friend  Rachnasharma163 to enjoy cool weather of hill stations and mountains of rivers and snow fall in chilling weather  Unlock1  weeklycontest  cnbcontest
503,joy,I want to go on a long drive to Shimla with my friend  Rachnasharma1 to enjoy cool weather of hill stations and mountains of rivers and snow fall in chilling weather  Unlock1  weeklycontest  cnbcontest
504,joy,I want to go on a long drive to Shimla with my friend  Joys_world to enjoy cool weather of hill stations and mountains of rivers and snow fall in chilling weather  Unlock1  weeklycontest  cnbcontest
505,anger,The Auckland tunnel in  Shimla  comes back to life after the announcement of  Unlock1 plan by the government  Public transport buses  taxis and private vehicles can be seen plying on the roads ushering in a semblance of normalcy in the city    PIB_India  CMOFFICEHP  MIB_India pic twitter com ReS1jqKeKV
506,anger,The Auckland tunnel in  Shimla  comes back to life after the announcement of  Unlock1 plan by the government  Public transport buses  taxis and private vehicles can be seen plying on the roads ushering in a semblance of normalcy in the city    PIB_India  CMOFFICEHP  MIB_India pic twitter com izGVdUE6kz
507,anger,The Auckland tunnel in Shimla comes back to life after the announcement of  Unlock1 plan by the government  Public transport buses  taxis and private vehicles can be seen plying on the roads ushering in a semblance of normalcy in the city    PIB_India  BOC_MIB  MIB_India pic twitter com VSLCu50m44
508,joy,I want to go on a long drive to Shimla with my friend  Rachnasharma163 to enjoy cool weather of hill stations and mountains of rivers and snow fall in chilling weather  Unlock1  weeklycontest  cnbcontest
509,joy,I want to go on a long drive to Shimla with my friend  Rawritz to enjoy cool weather of hill stations and mountains of rivers and snow fall in cool weather  Unlock1  weeklycontest  cnbcontest
510,joy,CM  JairamThakur informed about new guidelines quarantine rules  He said the decision to open educational institutes in  HimachalPradesh would be taken in July    Read More   https   himachalwatcher com  p 46629   HPGovt  Lockdown  Unlock1  Shimla  Education
511,anger,With the government announcing  Unlock1  buses of HRTC in  HimachalPradesh are all set to resume operations  At ISBT Shimla  all buses are being sanitized and staff is being given the necessary instructions to ensure that all norms are followed    PIB_India  MIB_India  CMOFFICEHP pic twitter com FZeXlTroAV
512,disgust,ह म चल  ब हर  र ज य   स  आन  व ल  क  प स क  म ध यम स  ह  म ल ग  प रव श  COVIDー19  HimachalPradesh  coronavirus  India  Shimla  CoronaVirusUpdates  COVID19  Corona  Unlock1  Update https   www panchayattimes com pass and permits needs to enter in himachal pradesh said government   
513,sadness,I will be going to shimla with  beardamigo  cnbcobtest  Unlock1
514,joy,Only a handful of people visit tourist attractions in Mysore  249 visit Zoo  just 58 visit Mysore Palace and about 1000 visit Chamundi temple on day one of  Unlock1 Same response all over  Karnataka
515,disgust, Bhind म    Corona क  चप ट म    Police   SAF बट ल यन  6 नए प ज ट व म लन  स  क ल स ख य 138 ह ई   COVID2019  IndiaFightsCoronavirus  Lockdownextention  UNLOCK1  MPNews   फ ल  कर      SHRAWAN_TAMBOLI  LIVETV    http   ibc24 in livetv  https   www youtube com watch v Es95SkFReLg  
516,disgust, Last day of  Lockdown5 and  Unlock1  Scene from a non containment zone in Noida    Centre grants more relaxations in Unlock 2 from July 1  https   pib gov in PressReleseDetail aspx PRID 1635227   pic twitter com nFuwYCGwnL
517,sadness,Noida has opted for Janta curfew  Punjab has sealed the boundaries  Indore is following lockdown on weekends  but why is Maharashtra not  taking any of such steps  despite the number of patients being the highest     Lockdown5  Unlock1  Maharashtra  udhavthakrey
518,sadness,Noida has opted for Janta curfew  Punjab has sealed the boundaries  Indore is following lockdown on weekends  but why is Maharashtra not  taking any of such steps  despite the number of patients being the highest     Lockdown5  Unlock1  Maharashtra  udhavthakrey
519,sadness,Noida has opted for Janta curfew  Punjab has sealed the boundaries  Indore is following lockdown on weekends  but why is Maharashtra not  taking any of such steps  despite the number of patients being the highest     Lockdown5  Unlock1  Maharashtra  udhavthakrey
520,joy,Millennials can t imagine their life without any of these now  Do you agree with me    ZiffyHomes  Lifeatziffy  AlwaysHome  Lockdown  essential  millennials  gurgaon  Noida  DelhiNCR  India  lockdownmeme  Unlock1  pic twitter com ulukzFKrYj
521,joy,Go Corona Go      4 Mahine Baad       kanishkdangi  Noida  Unlock1  pic twitter com FbEFoQl2my
522,sadness,Thanks for sharing these graphs  indeed a  ve sign    I suggest two cities Gurgaon   Noida because both are in close proximity of Delhi   a lot of influx Outflux daily   Gurgaon is particular is jeopardizing whole Haryana figures since Unlock1 0
523,fear, lockdown  Unlock1 was is also creative ground  My piece for the series  htTweets  https   hindustantimes com books unlockdown diaries the death of fomo by pooja pande story JGsOpZxFmp36WoiD1VJd3L htm    MondayMotivation  mondaythoughts  Delhi  Noida  Gurgaon pic twitter com 1eM8eFXTBV
524,joy,Obviously this is more important than let the people reach their offices for work  That s why they have sealed the  delhinoidaborder   Really smart strategy     delhi  noida  noidaborder  noidaborderissue  haryana  india  COVID19  Unlock1  opendelhi_noida  Gurugram
525,sadness,Itne time me toh log international border cross kar ke  noida me kaam karne aa Gaye the jitne me inse  delhinoidaborder ka issue nahi solve ho Raha     noidaborderissue  opendelhi_noidaborder  noidaborder  Unlock1  Unlock2  Delhi
526,joy,Work from Home and  KeepItSimple  KadhiPakoda  Unlock1  Noida  India pic twitter com VZL2wyCRGq
527,fear,Is there any hope that  noidaborder is going to open soon or I have to look for another job outside of  noida      opendelhi_noidaborder  UttarPradesh  delhi  haryana  Gurugram  noidaborderissue  Lockdown5  Unlock1  india  Unlock2  delhincr  BORDER
528,sadness, jabalpurdm  jabalpurpolice  ChouhanShivraj Seeking help   As our senior citizen parents are facing issues with the society commity members after there return to jabalpur after unlock1 from Noida  up  to there own home  They already under self quarantine mode 
529,anger,Please raise your hand if you are also missing him badly    ZiffyHomes  LifeatZiffy  Noida  India  Gurgaon  Lockdownupdate  Covid19  Coronavirus  WFH  WFHlife  WorkfromZiffy  StayatZiffy  coffeeholic  coffeeshots  coffeebreak  creativepost  unlock1  trendingnow  Officedays pic twitter com q0dh71XkTN
530,joy,Saw 2 trucks loaded with tractors this morning in Greater Noida  Was a good sight for me     Unlock1  pic twitter com fDcEVQw25S
531,sadness,Story1  I am working in noida as a software engineer and we were stuck here  mother  due to covid 19 and after unlock1 we made plans to go back to our hometown  I was with my mom and sister and came back yesterday  13 06 2019  in my hometown  Gangoh  with them 
532,joy,2020 mein report card sirf aur sirf Corona aur Suraj ka hi accha ayaa hai  they have consistently improved their report cards this year   ZiffyHomes  LifeatZiffy  AlwaysHome  Gurgaon  DelhiNCR  Noida  summerdays    Lockdownupdate  Covid19  Coronavirus  indiamemesdaily  Unlock1  pic twitter com RhrBEOb5Cw
533,sadness,Common man is just a source of tax for the government  after corona there will be wave of unemployment too   Noida  noidaborder  opendelhi_noidaborder  delhi  UttarPradesh  economy  COVID19  Covid_19  coronavirus  Unlock1
534,joy,It has happened  finally   COVID19 has come to a Greater  Noida society  over 40 kms from the Capital  where I stay  Curbs on movement imposed by police  gates shut  The patient  someone employed at a government department in  Delhi  Thank you  Unlock1  thank you  Delhi   
535,sadness,It s impossible to understand the senseless decisions of government   common people born to suffer so we are suffering    noida  opendelhi_noidaborder  noidaborder  UttarPradesh  india  letusenternoida  delhi  Haryana  Unlock1  COVID19India
536,disgust,न एड  ड एम क  स प र म क र ट न  नह   लग ई क ई फटक र  BreakingNews  dmgbnagar  Noida  SupremeCourtofIndia  UttarPradesh  unlock2  Unlock1  RavishKumar  NepalIndiaBorder  Delhi  DelhiRiots  news  Read more news click on the link  http   policemedianews com news article Noida DM did not reprimand the Supreme Court wgPhep html  
537,joy,May be if we take a cow with ourself then they can allow us to enter in  UttarPradesh  noida  noidaborder  opendelhi_noidaborder  delhi  border  Ghaziabad  Unlock1  india  lockdown  LetUsEnterNoida
538,sadness,It should be named as  lockdown5 not  unlock1  noida  opendelhi_noidaborder  noidaborder
539,disgust,Residents should be allowed to travel back to Noida   You say offices are open  but stops people from travelling from Delhi to Noida    LetUsEnterNoida  Unlock1  Noida  dmgbnagar  myogiadityanath  BJP4India  narendramodi  noidapolice  noidatraffic
540,joy, unlock1 Day10 Ration  rains and some efforts to provide rahat through  MealFirst   that s the story for today  UnderTheTree  indiafightscoronavirus    indiafightscoronavirus  corona   Noida  https   www instagram com p CBQhRmQHhjO  igshid 2k8wkct689pu  
541,joy, noida  filmcity  Unlock1  hailstorm  StormHour pic twitter com EMajZpS5tB
542,joy,Welcome rain  noida  Unlock1  hailstorm  storm pic twitter com w1yCm1bKfL
543,joy, LIVECAREFREE 15  NOW  85  ON POSSESSION  Rs  65 LAKH ONWARDS From Office Work to        Family Time  do everything in your new CAREFREE World  your  HOME        Located at Sec 150  Noida   8010272272   Details   https   bit ly 37fZfex   unlock1  indiafightscorona  staysafe  ace pic twitter com fwRs3yCpGk
544,joy,Using top quality  certified  and lab tested disinfectants  Enviroflow provides sanitization services across Delhi NCR at very optimal market rates  Call us now to avail our services    covid19  disinfectant  sanitization  fightagainstcorona  unlock1  delhi  gurgaon  noida  NCR pic twitter com xQf5rywLu5
545,fear, PAConstabulary  Can you please clarify if these rules setup for the premises are legit and follow the lines of Unlock1 0 guidelines  This is the current situation for almost all the batallions across Noida  Ghaziabad and Meerut   myogiadityanath  Uppolice  dgpup
546,joy, Looks is prepared to keep you stylish yet again  Pamper yourself and have safe experience with the latest safety trends at Gaur City Mall  Greater Noida West     Unlock1  Lockdown2020  GaurCityMall  MyCityMyMall  GreaterNoidaWest  Gaurs  Gaursons  GaursonsIndia pic twitter com Jy3KRXqcUv
547,joy, Unlock1   Noida shopping malls open for business  but only a few visitors turn up   reports  kush_junglee     https   www hindustantimes com noida noida shopping malls open for business but only a few visitors turn up story YTpvbnigwzujtfQRhaC83J html   pic twitter com AChD54ylgW
548,sadness,With the opening of a few malls  life is slowly limping back to normalcy for the people of  Noida   Unlock1  https   www indiatoday in business story unlock 1 0 many shopping malls in noida keep shutters closed despite green signal from govt 1686973 2020 06 08  
549,joy, Noida  A wedding performed at a  Gurudwara in Sector 18 as it reopened today  Manvinder Singh  the groom  says   Our wedding was scheduled for April 5 but couldn t take place due to lockdown  We got permission from Noida Authority after announcement of  Unlock1   tied the knot    pic twitter com poeyfL6lVo
550,joy,A temple bell wrapped  and muffled  in cloth to remind devotees not to touch it and markings at a gurudwara to enforce social distancing   Unlock1 in Noida  pic twitter com ZDJhc69I6g
551,joy, Unlock1  Wedding organised at  Noida Gurdwara as religious places  reopen https   youtu be N2v0j2JwNJ8 
552,joy,Noida  A wedding performed at a gurudwara in Sector 18 as it reopened today  Manvinder Singh  the groom  says   Our wedding was scheduled for April 5 but couldn t take place due to lockdown  We got permission from Noida Authority after announcement of  Unlock1   tied the knot    pic twitter com kbKse9NsZg
553,joy, Noida  A wedding performed at a gurudwara in Sector 18 as it reopened today  Manvinder Singh  the groom  says   Our wedding was scheduled for April 5 but couldn t take place due to lockdown  We got permission from Noida Authority after announcement of  Unlock1   tied the knot    pic twitter com 2yP2COD3g5
554,joy,Noida News India   What you think about unlock 1    noidanewsindia  noidanews  unlock2  Unlock1  Unlock  lockdown  coronavirus  COVID pic twitter com 3MS5CnYPha
555,disgust,On day one of  Unlock1 in Noida   Bhardwajmeha and I drove to Sector 18 to see what the situation was   This is our vlog  https   bit ly 3eTTnu2 
556,disgust,NOIDA Ground Report   ज न ए न एड  क  ह ल   UNLOCK 1 0   CORONAVIRUS VLOG  UnlockingIndia  Unlock1  Noida  https   www youtube com watch v G4a5cen t2U   pic twitter com jqUV2zi4nm
557,joy, CoronavirusIndia  Unlock1  Delhi  Noida  Gurugram  maskindia  malls  shopsmall  shops pic twitter com PffXJPJpGC
558,joy,Noida  A wedding performed at a gurudwara in Sector 18 as it reopened today  Manvinder Singh  the groom  says   Our wedding was scheduled for April 5 but couldn t take place due to lockdown  We got permission from Noida Authority after announcement of  Unlock1   tied the knot    pic twitter com BeQzgzVHpf
559,joy,Noida  A wedding performed at a gurudwara in Sector 18 as it reopened today  Manvinder Singh  the groom  says   Our wedding was scheduled for April 5 but couldn t take place due to lockdown  We got permission from Noida Authority after announcement of  Unlock1   tied the knot   pic twitter com 7ZrdrSxfHF
560,joy, Noida   A wedding performed at a gurudwara in Sector 18 as it reopened today  Manvinder Singh  the groom  says   Our wedding was scheduled for April 5 but couldn t take place due to lockdown  We got permission from Noida Authority after announcement of  Unlock1   tied the knot    pic twitter com QzsKMPdR9S
561,joy,Noida  A wedding performed at a gurudwara in Sector 18 as it reopened today  Manvinder Singh  the groom  says   Our wedding was scheduled for April 5 but couldn t take place due to lockdown  We got permission from Noida Authority after announcement of  Unlock1   tied the knot    pic twitter com pxsoVpJolQ
562,joy,People from Gurugram  Faridabad  Ghaziabad and Noida entering Delhi after CM   ArvindKejriwal announced opening of Delhi s border  Unlock1  unlock2 pic twitter com UHyMB2hje5
563,joy,ndia unlock 1 0 with strict rules and measures   corona  unlock  unlock1 0  workfromhome  lockdown  India  shoopy  Indiafightscorona  accounting  invoice  onlineshop  smallbusiness  shoopyapp  free  smallbusiness  supports  unlocking  chennai  banglore  hyderabad  mumbai  Noida  pic twitter com IicyMf0q2R
564,joy,As capital opens for non essential services  take a look at the heavy traffic at Delhi Noida border   ITVideo  Delhi  noida  lockdown  unlock1  pic twitter com lcyzfBixx5
565,disgust,With malls across  Delhi and neighbouring  Noida reopening today  here s what one can expect     via  vandanaramnani1   Unlock1  COVID19  SocialDistancing https   www moneycontrol com news business real estate unlock 1 0 covid marshals masks temperature checks as malls open doors in delhi noida 5373661 html  
566,sadness,Got news from friends  that Ajay Beast has the Noida border closed and wants the Delhi borders to be opened    Unlock1
567,joy, WATCH Traffic congestion seen on Delhi Noida Direct  DND  Flyway    Unlock  UnlockIndia  Delhi  Coronavirus  UNLOCK1  pic twitter com tNbpSRSK5c
568,joy, Unlock1   Traffic congestion seen on Delhi Noida Direct  DND  Flyway   For more updates  follow   http   bit ly 2MFR8P0   Lockdown5    Video courtesy  ANI  pic twitter com nII1qc3Fbq
569,joy, Visuals   Traffic congestion seen on Delhi Noida Direct  DND  Flyway     Unlock1      ANI   pic twitter com m9GNqdSa16
570,joy, WATCH Traffic congestion seen on Delhi Noida Direct  DND  Flyway   UNLOCK1  pic twitter com 7en9pqg8jW
571,joy, WATCH Traffic congestion seen on Delhi Noida Direct  DND  Flyway   UNLOCK1  pic twitter com 4LFjxyNTTk
572,joy,Here are the latest updates on travel in Delhi NCR   Lockdown  Lockdown5  Unlock1  Delhi  Noida  Gurugram  Ghaziabad  COVID19  Coronavirus https   www timesnownews com auto features article lockdown 5 delhi border now open check out latest updates on travel and movement in delhi ncr 603004  
573,joy, delhi se  noida jaane ke liye abhi bhi pass required hai Kya     Unlock1  india  LockdownFailed  Haryana  Border  delhincr
574,disgust,This is situation of almost whole country sir  This unlocking may be more costlier than lockdown    Unlock1  Delhi  Noida  https   twitter com sanjaynagral status 1269664281953533952  
575,joy, noida  coronaupdate  41 new cases reported in the district today Total tally standa at 632    Unlock1  CoronavirusOutbreak pic twitter com VN0fCczjx0
576,sadness,Does one need an epass if one has to travel from Noida to Delhi   back to Noida to drop someone to the airport   dmgbnagar  ArvindKejriwal  delhinoidaborder  epass  covid19  unlockone  Unlock1
577,joy,Korona ki dawaai      gurgaon  NewDelhi  Noida  Amul  babygate  CycloneNisarg  DCProtests  FailedLockdown  gautamgambhir  BabaRamdev  adgpi  SapnaMalik_  ZeeNews  DataAnalytics  MeToo  MannKiBaat  Trending  NewWorld  PositiveEnergy  COVIDUpdates  Unlock1  PizzaGate  COVIDー19 pic twitter com lo2gnsPDOs
578,disgust, unlock1 day5 Distributed meals and milk under  MealFirst   UnderTheTree  indiafightscoronavirus    IndiaFightsCorona  corona  COVID19   Noida न एड   https   www instagram com p CBDlscvj2pD  igshid 1004oeuurx6dv  
579,disgust, unlock1 day4  MealFirst continues to serve  Today apart from meals  milk was also distributed   UnderTheTree  indiafightscoronavirus    IndiaFightsCorona  corona  COVID19   Noida न एड   https   www instagram com p CBBAbxpjjbq  igshid 1by1dauganz3  
580,fear,  We in  Delhi    NCR  Gurgaon  Noida  Ghaziabad should be careful of this too in  Corona  Lockdown  Unlock1  NisargaCyclone tough times   Experts fear MAJOR  earthquake  http   shr gs wG5QFbN   drharshvardhan  PMOIndia  HMOIndia  ArvindKejriwal  ndmaindia  NDRFHQ  BJP4India pic twitter com ZPVDCDGIre
581,joy,Finally some relief for commuters in Delhi NCR    Delhi  Haryana  UP  Noida  Gurugram  DelhiNCR  Lockdown5  Unlock1  https   www timesnownews com auto features article lockdown 5 delhi haryana and up to get common interstate travel rules within a week 601354  
582,joy,Police personnel check vehicles at Delhi UP border  Pictures from Delhi Noida Direct  DND  Flyway   ANI   Unlock1  CautionYesPanicNo pic twitter com aiRmZJtBCo
583,joy,Things that we should keep in as we are in the 1st Phase of  Unlock1  ZiffyHomes  LifeatZiffy  AlwaysHome  Lockdownupdate  Lockdown5  Gurgaon  DelhiNCR  Noida  governmentofindia  India  narendramodi  indiawillbeatcorona  pmoindia  Socialdistancing  Indialockdown  COVID19 pic twitter com cXjp32lKFt
584,joy,Auto driver in Noida ferries more than 8 passengers as government relaxes restrictions with  Unlock1  Watch  atul_bhatia1 s report with  SushantBSinha pic twitter com kPP9sv6NWc
585,joy,Auto driver in Noida ferries more than 8 passengers as government relaxes restrictions with  Unlock1  Watch  atul_bhatia1 s report with  SushantBSinha pic twitter com UMGRK2f2mL
586,joy,It is good decision Lakhs of daily commuters will get  http   relief Pl  try to open Noida Delhi border also This will help all NCR residents   Lockdown5  Unlock1
587,joy, OfficialGNIDA team is sanitizing the internal streets in the villages of Greater Noida  like in village Khodna Khurd  to protect the area from getting infected by the  coronavirus   StayHome and take appropriate steps to boost your immunity   StsySafe  Unlock1  pic twitter com zEyFZ4Sqwx
588,joy,Ghaziabad and Noida Admins should also discuss in same way to open their borders for hassle free commute required for office travellers and general movement     dmgbnagar  dm_ghaziabad  Unlock1  Lockdown5 https   twitter com ANI status 1267989003967459328  
589,anger,To Aap  Delhi Me Kahan Rehti Hain     She    Noida  DelhiShouldKnow  Unlock1  Liars  crazycatlady  Delhicorona pic twitter com UzoSghweFj
590,disgust,When noida borders were sealed  I was commuting to and from noida  Now the borders are open and Noida police not allowing me to enter  Delhi borders sealed but police doing nothing  ArvindKejriwal  myogiadityanath  Unlock1  delhilockdown shame on you  BJP4India  ModiStepdown
591,disgust,With  Gurgaon   Delhi and  Noida sealing and unsealing their borders unpredictably during the  lockdown and even  Unlock1  the concept of the  NCR has changed  NCR now stands for No Crossingover Regularly   confusion
592,sadness,Only problem with govts babus r that they don t hear the word    u r fired   Hence unable to understand  how it feels to loose ur jobs by  govts actions of sealing the  border for more than 10 weeks   Noida  delhiborders  Gurugram  Unlock1  unlockone  UnlockIndiaDebate
593,disgust,Liquor shops in Noida to remain open from 10 am till 9 pm outside containment zones   Noida  ContainmentZones  Lockdown5  Unlock1  coronavirus https   www indiatvnews com news india liquor shops noida can open 9 pm outside containment zones 622572  
594,sadness,It seems DM of Noida is on some personal ego trip by keeping Delhi Noida border closed   myogiadityanath  CMOfficeUP is it not against the  PMOIndia plan to revive economy    HMOIndia interstate travel plan for  Unlock1   narendramodi is this how we will become  AatmaNirbhar 
595,joy,Center allowed interstate movement without pass but states are not allowing   My technicians have to move from Noida to uttrakhand but they don t want to be querentine their  Pls prepare some logical approach for success of unlock1 else  their is no benefits of unlock1 Regards
596,disgust,No body is trying to understand the problems faced by NCR residents When Delhi allow movement then Noida   Gurgaon put the restriction   now vice versa   Unlock1  COVIDー19  DelhiNoidaBorder
597,joy, dmgbnagar  uptrafficpolice  dtptraffic  noidatraffic please help me understand this  Is anyone living in a NON containment zone in Greater Noida Noida free to travel to Delhi WITHOUT a pass between 5am to 9pm  There s no mention of that in the circular   Unlock1
598,joy, dmgbnagar  uptrafficpolice  dtptraffic  noidatraffic please help me understand this  Is anyone living in a NON containment zone in Greater Noida Noida free to travel to Delhi WITHOUT a pass between 5am to 9pm  There s no mention of that in the circular   Unlock1
599,joy,On  day1 of  Unlock1  0   Dehi    UP    UttarPradesh  ghaziabad  noida      Haryana    Gurgaon  Faridabad   border seal issues  June1st  June1  Y2020  coronavirus  Pandemic   Steel City    https   www instagram com p CA4s94SJLGPHjez0o9wDT76BOR5bu0jRDE9_A00  igshid s8zdq24xxba8  
600,joy,An e pass issued by the Noida district magistrate will be required to cross the Delhi Noida border with exemption to essential activities   https   auto hindustantimes com auto news unlock 1 0 delhi noida border to remain sealed for a week says arvind kejriwal 41590993959192 html    Unlock1  htTweets
601,disgust,Niharika  a 12 year old Noida resident sets an example by paying 3 migrants flight to Jharkhand  She gave  48 000 fm the pocket money that she had collected over the years  CeoNoida  dmgbnagar  PankajSinghBJP  UPGovt  narendramodi  meGauravDwivedi  ARPITAARYA  Unlock1  COVID19 pic twitter com BczdQlH2XW
602,joy,Chaotic scenes at Noida Delhi Border as India moves from  Lockdown mode to  Unlock1 mode    You will not be allowed to enter Noida  if u don t have a pass   pic twitter com h8tEN4nHML
603,disgust,Delhi Noida border not sealed  have advised proper screening  Yogi Adityanath   via  IndiaTVNews  CMsOnIndiaTV  SushantBSinha  myogiadityanath  Unlock1  DelhiNoidaBorder https   www indiatvnews com news india delhi noida border not sealed yogi adityanath unlock travel 622383  
604,joy, PMOIndia  inspite of unlock1  Noida Delhi border remains closed for people   Pls intervene to allow people to work so that their jobs remain safe and industries and offices are also able to operate in a little better way 
605,disgust,The  UPGovt allowed interstate travel but left it to the district administrations of Ghaziabad and Noida to take a call on the movement of people from adjoining New Delhi    Unlock1  Lockdown5  COVID19  StaySafe  InterstateTravel http   oneindia com india up lifts ban on inter intra state travel 3097507 html  
606,joy,Chaotic scenes on  Delhi roads as  India enters  Unlock1   Jams for kms on Delhi   Noida border  coronavirus  Lockdown5  CoronavirusPandemic pic twitter com aofkardQt6
607,disgust, Unlock1    Delhi    Noida Border To Remain Sealed  42   Covid_19 Cases From National Capital https   news abplive com news india unlock 1 delhi noida border to remain sealed 42 covid 19 cases from national capital 1248749  
608,sadness, myogiadityanath sir how can you keep Delhi Noida border closed and expect normalcy and economy to revive Its against National  Unlock1 direction 
609,anger, savejpwishtown  OfficialNBCC  PMOIndia  HardeepSPuri  nsitharaman  myogiadityanath unlock1 0 begins Give economy a kick start by resuming construction in Noida  CaptMrinalC  HbJaypee  Chitrajaypee  rustagi_ashish  SanjayK26228782  lovneeshtalwar  ritu_misra15  Aggarwal1954
610,disgust, Unlock1  TOP 5 LATEST BIG BREAKING NEWS RIGHT FROM THE KHABAR LAZMI NEWS BULLETIN S DESK  HIT THE LINK  http   khabarlazmi in these are todays top 5 big news khabarlazmi special news bulletin 16     Covid_19  delhi  Noida  HardikPandya  WajidKhan  NASALive  khabarlazminews  khabarlazmi
611,sadness,Hello    I m travelling from Patna to Delhi on June 5  I live in Noida and since the borders are closed I don t know how will I travel since no one can come and pick me up  Will I also need an e pass  Please help    dm_ghaziabad  ghaziabadpolice  noidapolice  dmgbnagar  Unlock1
612,disgust,The UP gove said there is no ban on interstate travel but left it to the district administrations of Ghaziabad and Noida to take a call on the movement of people from Delhi   Unlock1  lockdown  coronavirus https   www indiatoday in india story coronaviurs lockdown unlock maharashtra tamil nadu karnataka delhi rajasthan inter state travel 1684086 2020 06 01  
613,joy, DelhiNoidaBorder should be unsealed as it is against SPIRIT of  Unlock1 of  HMOIndia   Will  CMOfficeUP continue sealed border until vaccine invented or whenever it will be allowed  there will be no positive cases in Noida after that  Think economy  jobs  All not govt employees
614,anger,Guatam Budh Nagar district administration yesterday said it will keep the Noida Delhi border shut    IndiaKaNayaJosh  Unlock1  UnlockIndia
615,disgust,Gautam Budh Nagar  Police check passes and IDs of people entering the district at Noida Delhi border near Delhi s Mayur Vihar Extension area   Unlock1  DelhiUnlock1  NoidaUnlock1 pic twitter com glzspFMBbe
616,fear,Every district in Uttarpradesh has different rules Please let me know can i travel from Meerut to Noida by my own car  dmgbnagar  DmMeerut  dm_ghaziabad  Unlock1  Stayhomestaysafe
617,sadness,Pl  read the  Unlock1 Guidelines   letter to Chief Secretaries written thereafter  States can still impose restrictions after giving prior publicity  I am told by persons from Noida that employees have got passes  So status quo shouldn t cause problem to them at least   HMOIndia pic twitter com KEfYOFzMXq
